article_title,url_link,country,article_quality,revision_id,geography,population,region
Shahjahan Noori,https://en.wikipedia.org/wiki/Shahjahan_Noori,Afghanistan,GA,1099689043,Afghanistan,41.1,SOUTH ASIA
Abdul Ghafar Lakanwal,https://en.wikipedia.org/wiki/Abdul_Ghafar_Lakanwal,Afghanistan,Start,943562276,Afghanistan,41.1,SOUTH ASIA
Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,Start,852404094,Afghanistan,41.1,SOUTH ASIA
Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,B,1095102390,Afghanistan,41.1,SOUTH ASIA
Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,Start,1104998382,Afghanistan,41.1,SOUTH ASIA
Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan,Start,1109361754,Afghanistan,41.1,SOUTH ASIA
Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,Start,1087211008,Afghanistan,41.1,SOUTH ASIA
Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,Start,1082489593,Afghanistan,41.1,SOUTH ASIA
Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,Start,1038918070,Afghanistan,41.1,SOUTH ASIA
Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,Start,1069322182,Afghanistan,41.1,SOUTH ASIA
Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,Start,1095526840,Afghanistan,41.1,SOUTH ASIA
Mohammad Asim Asim,https://en.wikipedia.org/wiki/Mohammad_Asim_Asim,Afghanistan,Stub,1013838830,Afghanistan,41.1,SOUTH ASIA
Atiqullah Atifmal,https://en.wikipedia.org/wiki/Atiqullah_Atifmal,Afghanistan,Start,1112407669,Afghanistan,41.1,SOUTH ASIA
Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,Start,1108886061,Afghanistan,41.1,SOUTH ASIA
Alhaj Mutalib Baig,https://en.wikipedia.org/wiki/Alhaj_Mutalib_Baig,Afghanistan,Start,1111494041,Afghanistan,41.1,SOUTH ASIA
Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,Start,1112534409,Afghanistan,41.1,SOUTH ASIA
Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,Stub,889226470,Afghanistan,41.1,SOUTH ASIA
Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,Start,1102150221,Afghanistan,41.1,SOUTH ASIA
Abas Basir,https://en.wikipedia.org/wiki/Abas_Basir,Afghanistan,C,1098419766,Afghanistan,41.1,SOUTH ASIA
Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,Stub,997027082,Afghanistan,41.1,SOUTH ASIA
Ahmad Behzad,https://en.wikipedia.org/wiki/Ahmad_Behzad,Afghanistan,Start,1103948295,Afghanistan,41.1,SOUTH ASIA
Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,Start,1060707209,Afghanistan,41.1,SOUTH ASIA
Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,Stub,977208323,Afghanistan,41.1,SOUTH ASIA
Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,Stub,1105913099,Afghanistan,41.1,SOUTH ASIA
Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan,Start,1087211968,Afghanistan,41.1,SOUTH ASIA
Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan,Stub,988838315,Afghanistan,41.1,SOUTH ASIA
Elay Ershad,https://en.wikipedia.org/wiki/Elay_Ershad,Afghanistan,Stub,1102489654,Afghanistan,41.1,SOUTH ASIA
Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan,Stub,949986748,Afghanistan,41.1,SOUTH ASIA
Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan,Stub,947885788,Afghanistan,41.1,SOUTH ASIA
Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan,Stub,1033383351,Afghanistan,41.1,SOUTH ASIA
Mohammad Nasim Faqiri,https://en.wikipedia.org/wiki/Mohammad_Nasim_Faqiri,Afghanistan,Start,1098051193,Afghanistan,41.1,SOUTH ASIA
Mohammad Nazar Faqiri,https://en.wikipedia.org/wiki/Mohammad_Nazar_Faqiri,Afghanistan,Stub,1095525798,Afghanistan,41.1,SOUTH ASIA
Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan,B,1041460606,Afghanistan,41.1,SOUTH ASIA
Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,Afghanistan,C,1112933356,Afghanistan,41.1,SOUTH ASIA
Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Afghanistan,Stub,1072441893,Afghanistan,41.1,SOUTH ASIA
Ashraf Ghani,https://en.wikipedia.org/wiki/Ashraf_Ghani,Afghanistan,B,1113195582,Afghanistan,41.1,SOUTH ASIA
Abdul Samad Ghaus,https://en.wikipedia.org/wiki/Abdul_Samad_Ghaus,Afghanistan,Stub,1072271854,Afghanistan,41.1,SOUTH ASIA
Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan,Stub,1109361872,Afghanistan,41.1,SOUTH ASIA
Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan,Stub,1108886395,Afghanistan,41.1,SOUTH ASIA
Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan,Stub,1092523687,Afghanistan,41.1,SOUTH ASIA
Ghulam Haider Hamidi,https://en.wikipedia.org/wiki/Ghulam_Haider_Hamidi,Afghanistan,Start,1095018556,Afghanistan,41.1,SOUTH ASIA
Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan,C,1104280812,Afghanistan,41.1,SOUTH ASIA
Abdul Malik Hamwar,https://en.wikipedia.org/wiki/Abdul_Malik_Hamwar,Afghanistan,Stub,1100874645,Afghanistan,41.1,SOUTH ASIA
Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan,Start,1112804808,Afghanistan,41.1,SOUTH ASIA
Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,Start,1104423275,Afghanistan,41.1,SOUTH ASIA
Shahnaz Himmeti,https://en.wikipedia.org/wiki/Shahnaz_Himmeti,Afghanistan,Stub,909966254,Afghanistan,41.1,SOUTH ASIA
Anarkali Kaur Honaryar,https://en.wikipedia.org/wiki/Anarkali_Kaur_Honaryar,Afghanistan,Start,1069574154,Afghanistan,41.1,SOUTH ASIA
Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,Stub,1092518990,Afghanistan,41.1,SOUTH ASIA
Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,Start,1094201417,Afghanistan,41.1,SOUTH ASIA
Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan,C,1073524466,Afghanistan,41.1,SOUTH ASIA
Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan,Start,1078580238,Afghanistan,41.1,SOUTH ASIA
Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,C,1093621927,Afghanistan,41.1,SOUTH ASIA
Faizullah Kakar,https://en.wikipedia.org/wiki/Faizullah_Kakar,Afghanistan,C,1108932917,Afghanistan,41.1,SOUTH ASIA
Amin Karim,https://en.wikipedia.org/wiki/Amin_Karim,Afghanistan,C,1106333491,Afghanistan,41.1,SOUTH ASIA
Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,Start,1060701067,Afghanistan,41.1,SOUTH ASIA
Ahmed Wali Karzai,https://en.wikipedia.org/wiki/Ahmed_Wali_Karzai,Afghanistan,GA,1090245979,Afghanistan,41.1,SOUTH ASIA
Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,Stub,1115331693,Afghanistan,41.1,SOUTH ASIA
Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,Start,1092416288,Afghanistan,41.1,SOUTH ASIA
Rouh Gul Khairzad,https://en.wikipedia.org/wiki/Rouh_Gul_Khairzad,Afghanistan,Stub,925562571,Afghanistan,41.1,SOUTH ASIA
Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,GA,1103105365,Afghanistan,41.1,SOUTH ASIA
Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,Stub,1070779097,Afghanistan,41.1,SOUTH ASIA
Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan,Start,1010948755,Afghanistan,41.1,SOUTH ASIA
Farzana Kochai,https://en.wikipedia.org/wiki/Farzana_Kochai,Afghanistan,Stub,1079430136,Afghanistan,41.1,SOUTH ASIA
Farida Kuchi,https://en.wikipedia.org/wiki/Farida_Kuchi,Afghanistan,Start,1109436134,Afghanistan,41.1,SOUTH ASIA
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,Start,1106151353,Afghanistan,41.1,SOUTH ASIA
Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan,Start,1102817004,Afghanistan,41.1,SOUTH ASIA
Razaq Mamoon,https://en.wikipedia.org/wiki/Razaq_Mamoon,Afghanistan,Start,1100189662,Afghanistan,41.1,SOUTH ASIA
Fazel Ahmed Manawi,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,Afghanistan,Stub,1106464575,Afghanistan,41.1,SOUTH ASIA
Moeen Marastial,https://en.wikipedia.org/wiki/Moeen_Marastial,Afghanistan,Start,1102907176,Afghanistan,41.1,SOUTH ASIA
Ahmad Massoud,https://en.wikipedia.org/wiki/Ahmad_Massoud,Afghanistan,C,1112608262,Afghanistan,41.1,SOUTH ASIA
Ahmad Wali Massoud,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,Afghanistan,Start,1108236868,Afghanistan,41.1,SOUTH ASIA
Mohammad Daud Miraki,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,Afghanistan,C,1112192884,Afghanistan,41.1,SOUTH ASIA
Abdul Sattar Mirzakwal,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,Afghanistan,Stub,1044450376,Afghanistan,41.1,SOUTH ASIA
Abdul Karim Misaq,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,Afghanistan,Stub,1052669338,Afghanistan,41.1,SOUTH ASIA
Ali Mohammad (politician),https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),Afghanistan,Stub,1050463798,Afghanistan,41.1,SOUTH ASIA
Nasruddin Mohseni,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,Afghanistan,Start,1095044526,Afghanistan,41.1,SOUTH ASIA
Davood Moradian,https://en.wikipedia.org/wiki/Davood_Moradian,Afghanistan,Stub,1106284627,Afghanistan,41.1,SOUTH ASIA
Zalmai Mujadidi,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,Afghanistan,Start,1104635001,Afghanistan,41.1,SOUTH ASIA
Fazal Haq Mujahid,https://en.wikipedia.org/wiki/Fazal_Haq_Mujahid,Afghanistan,C,1113267490,Afghanistan,41.1,SOUTH ASIA
Rahmatullah Nabil,https://en.wikipedia.org/wiki/Rahmatullah_Nabil,Afghanistan,Start,1112496538,Afghanistan,41.1,SOUTH ASIA
Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,Stub,1038680015,Afghanistan,41.1,SOUTH ASIA
Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,Start,1110983467,Afghanistan,41.1,SOUTH ASIA
Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,Stub,916899472,Afghanistan,41.1,SOUTH ASIA
Muhammad Yunus Nawandish,https://en.wikipedia.org/wiki/Muhammad_Yunus_Nawandish,Afghanistan,C,1111494390,Afghanistan,41.1,SOUTH ASIA
Ali Maisam Nazary,https://en.wikipedia.org/wiki/Ali_Maisam_Nazary,Afghanistan,Start,1107279930,Afghanistan,41.1,SOUTH ASIA
Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,Stub,1093612575,Afghanistan,41.1,SOUTH ASIA
Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,Start,1001786762,Afghanistan,41.1,SOUTH ASIA
Mohammed Tahir Omar,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,Stub,996093541,Afghanistan,41.1,SOUTH ASIA
Nasrin Oryakhil,https://en.wikipedia.org/wiki/Nasrin_Oryakhil,Afghanistan,Start,1097277701,Afghanistan,41.1,SOUTH ASIA
Murad Quenili,https://en.wikipedia.org/wiki/Murad_Quenili,Afghanistan,Stub,1093963498,Afghanistan,41.1,SOUTH ASIA
Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,Stub,918256992,Afghanistan,41.1,SOUTH ASIA
Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,Stub,987269301,Afghanistan,41.1,SOUTH ASIA
Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,Stub,994195074,Afghanistan,41.1,SOUTH ASIA
Amrullah Saleh,https://en.wikipedia.org/wiki/Amrullah_Saleh,Afghanistan,FA,1115022704,Afghanistan,41.1,SOUTH ASIA
Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,Stub,889806024,Afghanistan,41.1,SOUTH ASIA
Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,Stub,1098092701,Afghanistan,41.1,SOUTH ASIA
Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,Stub,1019860497,Afghanistan,41.1,SOUTH ASIA
