Geography,Population (millions),Region
WORLD,7963,WORLD
AFRICA,1419,AFRICA
NORTHERN AFRICA,251,NORTHERN AFRICA
Algeria,44.9,NORTHERN AFRICA
Egypt,103.5,NORTHERN AFRICA
Libya,6.8,NORTHERN AFRICA
Morocco,36.7,NORTHERN AFRICA
Sudan,46.9,NORTHERN AFRICA
Tunisia,11.8,NORTHERN AFRICA
Western Sahara,0.6,NORTHERN AFRICA
WESTERN AFRICA,430,WESTERN AFRICA
Benin,13.4,WESTERN AFRICA
Burkina Faso,22.7,WESTERN AFRICA
Cape Verde,0.6,WESTERN AFRICA
Cote d'Ivoire,28.2,WESTERN AFRICA
Gambia,2.7,WESTERN AFRICA
Ghana,33.5,WESTERN AFRICA
Guinea,13.9,WESTERN AFRICA
Guinea-Bissau,2.1,WESTERN AFRICA
Liberia,5.3,WESTERN AFRICA
Mali,22.6,WESTERN AFRICA
Mauritania,4.7,WESTERN AFRICA
Niger,26.2,WESTERN AFRICA
Nigeria,218.5,WESTERN AFRICA
Senegal,17.9,WESTERN AFRICA
Sierra Leone,8.7,WESTERN AFRICA
Togo,8.8,WESTERN AFRICA
EASTERN AFRICA,473,EASTERN AFRICA
Burundi,12.9,EASTERN AFRICA
Comoros,0.8,EASTERN AFRICA
Djibouti,1.1,EASTERN AFRICA
Eritrea,3.7,EASTERN AFRICA
Ethiopia,123.4,EASTERN AFRICA
Kenya,54,EASTERN AFRICA
Madagascar,29.6,EASTERN AFRICA
Malawi,20.4,EASTERN AFRICA
Mauritius,1.3,EASTERN AFRICA
Mayotte,0.3,EASTERN AFRICA
Mozambique,33,EASTERN AFRICA
Reunion,0.9,EASTERN AFRICA
Rwanda,13.8,EASTERN AFRICA
Seychelles,0.1,EASTERN AFRICA
Somalia,17.6,EASTERN AFRICA
South Sudan,10.9,EASTERN AFRICA
Tanzania,65.5,EASTERN AFRICA
Uganda,47.2,EASTERN AFRICA
Zambia,20,EASTERN AFRICA
Zimbabwe,16.3,EASTERN AFRICA
MIDDLE AFRICA,196,MIDDLE AFRICA
Angola,35.6,MIDDLE AFRICA
Cameroon,27.9,MIDDLE AFRICA
Central African Republic,5.6,MIDDLE AFRICA
Chad,17.7,MIDDLE AFRICA
Congo,6,MIDDLE AFRICA
"Congo, Dem. Rep.",99,MIDDLE AFRICA
Equatorial Guinea,1.7,MIDDLE AFRICA
Gabon,2.4,MIDDLE AFRICA
Sao Tome and Principe,0.2,MIDDLE AFRICA
SOUTHERN AFRICA,69,SOUTHERN AFRICA
Botswana,2.6,SOUTHERN AFRICA
eSwatini,1.2,SOUTHERN AFRICA
Lesotho,2.3,SOUTHERN AFRICA
Namibia,2.6,SOUTHERN AFRICA
South Africa,60.6,SOUTHERN AFRICA
NORTHERN AMERICA,372,NORTHERN AMERICA
Canada,38.8,NORTHERN AMERICA
United States,332.8,NORTHERN AMERICA
LATIN AMERICA AND THE CARIBBEAN,656,LATIN AMERICA AND THE CARIBBEAN
CENTRAL AMERICA,178,CENTRAL AMERICA
Belize,0.4,CENTRAL AMERICA
Costa Rica,5.2,CENTRAL AMERICA
El Salvador,6.3,CENTRAL AMERICA
Guatemala,17.8,CENTRAL AMERICA
Honduras,9.6,CENTRAL AMERICA
Mexico,127.5,CENTRAL AMERICA
Nicaragua,6.7,CENTRAL AMERICA
Panama,4.4,CENTRAL AMERICA
CARIBBEAN,44,CARIBBEAN
Antigua and Barbuda,0.1,CARIBBEAN
Bahamas,0.4,CARIBBEAN
Barbados,0.3,CARIBBEAN
Cuba,11.1,CARIBBEAN
Curacao,0.1,CARIBBEAN
Dominica,0.1,CARIBBEAN
Dominican Republic,11.2,CARIBBEAN
Grenada,0.1,CARIBBEAN
Guadeloupe,0.4,CARIBBEAN
Haiti,11.6,CARIBBEAN
Jamaica,2.8,CARIBBEAN
Martinique,0.3,CARIBBEAN
Puerto Rico,3.2,CARIBBEAN
St. Kitts-Nevis,0.1,CARIBBEAN
Saint Lucia,0.2,CARIBBEAN
St. Vincent and the Grenadines,0.1,CARIBBEAN
Trinidad and Tobago,1.4,CARIBBEAN
SOUTH AMERICA,434,SOUTH AMERICA
Argentina,46.2,SOUTH AMERICA
Bolivia,12.2,SOUTH AMERICA
Brazil,214.8,SOUTH AMERICA
Chile,19.8,SOUTH AMERICA
Colombia,49.1,SOUTH AMERICA
Ecuador,18,SOUTH AMERICA
French Guiana,0.3,SOUTH AMERICA
Guyana,0.8,SOUTH AMERICA
Paraguay,6.8,SOUTH AMERICA
Peru,33.4,SOUTH AMERICA
Suriname,0.6,SOUTH AMERICA
Uruguay,3.6,SOUTH AMERICA
Venezuela,28.3,SOUTH AMERICA
ASIA,4730,ASIA
WESTERN ASIA,294,WESTERN ASIA
Armenia,3,WESTERN ASIA
Azerbaijan,10.2,WESTERN ASIA
Bahrain,1.5,WESTERN ASIA
Cyprus,1.3,WESTERN ASIA
Georgia,3.7,WESTERN ASIA
Iraq,44.5,WESTERN ASIA
Israel,9.5,WESTERN ASIA
Jordan,11.2,WESTERN ASIA
Kuwait,4.1,WESTERN ASIA
Lebanon,5.5,WESTERN ASIA
Oman,4.6,WESTERN ASIA
Palestinian Territory,5.4,WESTERN ASIA
Qatar,2.7,WESTERN ASIA
Saudi Arabia,36.7,WESTERN ASIA
Syria,22.1,WESTERN ASIA
Turkey,85.2,WESTERN ASIA
United Arab Emirates,9.4,WESTERN ASIA
Yemen,33.7,WESTERN ASIA
CENTRAL ASIA,78,CENTRAL ASIA
Kazakhstan,19.2,CENTRAL ASIA
Kyrgyzstan,6.8,CENTRAL ASIA
Tajikistan,10,CENTRAL ASIA
Turkmenistan,6.4,CENTRAL ASIA
Uzbekistan,35.6,CENTRAL ASIA
SOUTH ASIA,2008,SOUTH ASIA
Afghanistan,41.1,SOUTH ASIA
Bangladesh,171.2,SOUTH ASIA
Bhutan,0.8,SOUTH ASIA
India,1417.2,SOUTH ASIA
Iran,88.6,SOUTH ASIA
Maldives,0.6,SOUTH ASIA
Nepal,30.9,SOUTH ASIA
Pakistan,235.8,SOUTH ASIA
Sri Lanka,22.4,SOUTH ASIA
SOUTHEAST ASIA,676,SOUTHEAST ASIA
Brunei,0.4,SOUTHEAST ASIA
Cambodia,16.8,SOUTHEAST ASIA
Indonesia,275.5,SOUTHEAST ASIA
Laos,7.5,SOUTHEAST ASIA
Malaysia,32.7,SOUTHEAST ASIA
Myanmar,54.2,SOUTHEAST ASIA
Philippines,115.6,SOUTHEAST ASIA
Singapore,5.5,SOUTHEAST ASIA
Thailand,66.8,SOUTHEAST ASIA
Timor-Leste,1.3,SOUTHEAST ASIA
Vietnam,99.4,SOUTHEAST ASIA
EAST ASIA,1674,EAST ASIA
China,1436.6,EAST ASIA
"China, Hong Kong SAR",7.4,EAST ASIA
"China, Macao SAR",0.7,EAST ASIA
Japan,124.9,EAST ASIA
"Korea, North",26.1,EAST ASIA
"Korea, South",51.6,EAST ASIA
Mongolia,3.4,EAST ASIA
Taiwan,23.2,EAST ASIA
EUROPE,742,EUROPE
NORTHERN EUROPE,107,NORTHERN EUROPE
Denmark,5.9,NORTHERN EUROPE
Estonia,1.3,NORTHERN EUROPE
Finland,5.6,NORTHERN EUROPE
Iceland,0.4,NORTHERN EUROPE
Ireland,5.1,NORTHERN EUROPE
Latvia,1.9,NORTHERN EUROPE
Lithuania,2.8,NORTHERN EUROPE
Norway,5.4,NORTHERN EUROPE
Sweden,10.5,NORTHERN EUROPE
United Kingdom,67.6,NORTHERN EUROPE
WESTERN EUROPE,197,WESTERN EUROPE
Austria,9,WESTERN EUROPE
Belgium,11.6,WESTERN EUROPE
France,65.8,WESTERN EUROPE
Germany,83.3,WESTERN EUROPE
Liechtenstein,0,WESTERN EUROPE
Luxembourg,0.7,WESTERN EUROPE
Monaco,0,WESTERN EUROPE
Netherlands,17.7,WESTERN EUROPE
Switzerland,8.8,WESTERN EUROPE
EASTERN EUROPE,287,EASTERN EUROPE
Belarus,9.2,EASTERN EUROPE
Bulgaria,6.8,EASTERN EUROPE
Czechia,10.5,EASTERN EUROPE
Hungary,9.7,EASTERN EUROPE
Moldova,3.5,EASTERN EUROPE
Poland,38,EASTERN EUROPE
Romania,19,EASTERN EUROPE
Russia,144.3,EASTERN EUROPE
Slovakia,5.4,EASTERN EUROPE
Ukraine,41,EASTERN EUROPE
SOUTHERN EUROPE,151,SOUTHERN EUROPE
Albania,2.8,SOUTHERN EUROPE
Andorra,0.1,SOUTHERN EUROPE
Bosnia-Herzegovina,3.4,SOUTHERN EUROPE
Croatia,3.8,SOUTHERN EUROPE
Greece,10.6,SOUTHERN EUROPE
Italy,58.9,SOUTHERN EUROPE
Kosovo,1.8,SOUTHERN EUROPE
Malta,0.5,SOUTHERN EUROPE
Montenegro,0.6,SOUTHERN EUROPE
North Macedonia,1.8,SOUTHERN EUROPE
Portugal,10.3,SOUTHERN EUROPE
San Marino,0,SOUTHERN EUROPE
Serbia,6.8,SOUTHERN EUROPE
Slovenia,2.1,SOUTHERN EUROPE
Spain,47.4,SOUTHERN EUROPE
OCEANIA,44,OCEANIA
Australia,25.8,OCEANIA
Federated States of Micronesia,0.1,OCEANIA
Fiji,0.9,OCEANIA
French Polynesia,0.3,OCEANIA
Guam,0.2,OCEANIA
Kiribati,0.1,OCEANIA
Marshall Islands,0.1,OCEANIA
Nauru,0,OCEANIA
New Caledonia,0.3,OCEANIA
New Zealand,5.1,OCEANIA
Palau,0,OCEANIA
Papua New Guinea,9.3,OCEANIA
Samoa,0.2,OCEANIA
Solomon Islands,0.7,OCEANIA
Tonga,0.1,OCEANIA
Tuvalu,0,OCEANIA
Vanuatu,0.3,OCEANIA
