DATE,MIMACO9URN
2019-01-01,5.4
2019-02-01,4.4
2019-03-01,4.8
2019-04-01,3.8
2019-05-01,3.8
2019-06-01,4.3
2019-07-01,4.8
2019-08-01,4.4
2019-09-01,3.8
2019-10-01,3.6
2019-11-01,3.4
2019-12-01,3.5
2020-01-01,4.6
2020-02-01,3.7
2020-03-01,4.9
2020-04-01,26.5
2020-05-01,25.8
2020-06-01,18.4
2020-07-01,14.8
2020-08-01,11.0
2020-09-01,9.6
2020-10-01,7.6
2020-11-01,7.0
2020-12-01,7.6
2021-01-01,7.0
2021-02-01,6.6
2021-03-01,6.6
2021-04-01,6.0
2021-05-01,6.3
2021-06-01,6.8
2021-07-01,7.3
2021-08-01,6.4
2021-09-01,5.4
2021-10-01,4.8
2021-11-01,4.0
2021-12-01,4.0
2022-01-01,4.9
2022-02-01,5.0
2022-03-01,4.4
2022-04-01,4.1
2022-05-01,4.7
2022-06-01,4.3
2022-07-01,3.2
2022-08-01,3.3
2022-09-01,3.4
2022-10-01,3.2
