State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public
MI,Macomb County,26,99,4/10/20,2,No
MI,Macomb County,26,99,4/11/20,2,No
MI,Macomb County,26,99,4/12/20,2,No
MI,Macomb County,26,99,4/13/20,2,No
MI,Macomb County,26,99,4/14/20,2,No
MI,Macomb County,26,99,4/15/20,2,No
MI,Macomb County,26,99,4/16/20,2,No
MI,Macomb County,26,99,4/17/20,2,No
MI,Macomb County,26,99,4/18/20,2,No
MI,Macomb County,26,99,4/19/20,2,No
MI,Macomb County,26,99,4/20/20,2,No
MI,Macomb County,26,99,4/21/20,2,No
MI,Macomb County,26,99,4/22/20,2,No
MI,Macomb County,26,99,4/23/20,2,No
MI,Macomb County,26,99,4/24/20,2,No
MI,Macomb County,26,99,4/25/20,2,No
MI,Macomb County,26,99,4/26/20,1,Yes
MI,Macomb County,26,99,4/27/20,1,Yes
MI,Macomb County,26,99,4/28/20,1,Yes
MI,Macomb County,26,99,4/29/20,1,Yes
MI,Macomb County,26,99,4/30/20,1,Yes
MI,Macomb County,26,99,5/1/20,1,Yes
MI,Macomb County,26,99,5/2/20,1,Yes
MI,Macomb County,26,99,5/3/20,1,Yes
MI,Macomb County,26,99,5/4/20,1,Yes
MI,Macomb County,26,99,5/5/20,1,Yes
MI,Macomb County,26,99,5/6/20,1,Yes
MI,Macomb County,26,99,5/7/20,1,Yes
MI,Macomb County,26,99,5/8/20,1,Yes
MI,Macomb County,26,99,5/9/20,1,Yes
MI,Macomb County,26,99,5/10/20,1,Yes
MI,Macomb County,26,99,5/11/20,1,Yes
MI,Macomb County,26,99,5/12/20,1,Yes
MI,Macomb County,26,99,5/13/20,1,Yes
MI,Macomb County,26,99,5/14/20,1,Yes
MI,Macomb County,26,99,5/15/20,1,Yes
MI,Macomb County,26,99,5/16/20,1,Yes
MI,Macomb County,26,99,5/17/20,1,Yes
MI,Macomb County,26,99,5/18/20,1,Yes
MI,Macomb County,26,99,5/19/20,1,Yes
MI,Macomb County,26,99,5/20/20,1,Yes
MI,Macomb County,26,99,5/21/20,1,Yes
MI,Macomb County,26,99,5/22/20,1,Yes
MI,Macomb County,26,99,5/23/20,1,Yes
MI,Macomb County,26,99,5/24/20,1,Yes
MI,Macomb County,26,99,5/25/20,1,Yes
MI,Macomb County,26,99,5/26/20,1,Yes
MI,Macomb County,26,99,5/27/20,1,Yes
MI,Macomb County,26,99,5/28/20,1,Yes
MI,Macomb County,26,99,5/29/20,1,Yes
MI,Macomb County,26,99,5/30/20,1,Yes
